Pathway or Process	XD-score	q-value	Overlap/Size
Butanoate metabolism	-0.03062	 1.00000	   0/14
Glutathione metabolism	-0.03062	 1.00000	   0/26
Renin-angiotensin system	-0.03062	 1.00000	   0/16
Hedgehog signaling pathway	-0.03062	 1.00000	   0/44
Alanine, aspartate and glutamate metabolism	-0.03062	 1.00000	   0/21
Type II diabetes mellitus	-0.03062	 1.00000	   0/43
Phototransduction	-0.03062	 1.00000	   0/22
Malaria	-0.03062	 1.00000	   0/42
Hematopoietic cell lineage	-0.03062	 1.00000	   0/80
Circadian rhythm - mammal	-0.03062	 1.00000	   0/21
Citrate cycle (TCA cycle)	-0.03062	 1.00000	   0/26
Dorso-ventral axis formation	-0.03062	 1.00000	   0/20
Propanoate metabolism	-0.03062	 1.00000	   0/19
Maturity onset diabetes of the young	-0.03062	 1.00000	   0/19
beta-Alanine metabolism	-0.03062	 1.00000	   0/15
Fructose and mannose metabolism	-0.03062	 1.00000	   0/29
Pentose phosphate pathway	-0.03062	 1.00000	   0/20
Galactose metabolism	-0.03062	 1.00000	   0/17
Aldosterone-regulated sodium reabsorption	-0.03062	 1.00000	   0/38
Riboflavin metabolism	-0.03062	 1.00000	   0/11
