#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PRPF4	PRPF8	1856059	1848629	9606.ENSP00000363313	9606.ENSP00000304350	0	0	0	0	0.058	0.997	0.900	0.678	0.999
SNRPB	LSM6	1860980	1847758	9606.ENSP00000412566	9606.ENSP00000296581	0	0	0	0	0.080	0.985	0.900	0.527	0.999
RBBP7	HAT1	1857150	1845481	9606.ENSP00000369424	9606.ENSP00000264108	0	0	0	0	0.440	0.984	0.900	0.576	0.999
POLE3	CHRAC1	1856055	1842807	9606.ENSP00000363284	9606.ENSP00000220913	0	0	0	0	0.093	0.976	0.900	0.861	0.999
PRPF8	PRPF6	1848629	1845854	9606.ENSP00000304350	9606.ENSP00000266079	0	0	0	0	0.268	0.989	0.900	0.594	0.999
CDC5L	SNRNP200	1855491	1849929	9606.ENSP00000360532	9606.ENSP00000317123	0	0	0	0	0.105	0.982	0.900	0.583	0.999
SNRPD2	LSM6	1852586	1847758	9606.ENSP00000342374	9606.ENSP00000296581	0	0	0	0	0.186	0.998	0.900	0.740	0.999
TAF1L	TAF2	1861354	1856824	9606.ENSP00000418379	9606.ENSP00000367406	0	0	0	0	0.667	0.956	0.900	0.567	0.999
TAF6	TAF10	1860193	1848061	9606.ENSP00000399982	9606.ENSP00000299424	0	0	0	0	0.053	0.978	0.900	0.823	0.999
SNRPE	PRPF8	1860230	1848629	9606.ENSP00000400591	9606.ENSP00000304350	0	0	0	0	0.053	0.997	0.900	0.107	0.999
PPP2CA	PPP2R1B	1861358	1849409	9606.ENSP00000418447	9606.ENSP00000311344	0	0	0	0	0.268	0.924	0.900	0.860	0.999
TAF1	TBP	1846471	1843249	9606.ENSP00000276072	9606.ENSP00000230354	0	0	0	0	0.115	0.988	0.900	0.936	0.999
SNRNP200	PRPF8	1849929	1848629	9606.ENSP00000317123	9606.ENSP00000304350	0	0	0	0	0.667	0.996	0.900	0.861	0.999
XAB2	PRPF19	1853674	1843119	9606.ENSP00000351137	9606.ENSP00000227524	0	0	0	0	0.182	0.989	0.900	0.756	0.999
TAF2	TAF10	1856824	1848061	9606.ENSP00000367406	9606.ENSP00000299424	0	0	0	0	0.051	0.989	0.900	0.683	0.999
ASH2L	DPY30	1852381	1847527	9606.ENSP00000340896	9606.ENSP00000295066	0	0	0	0	0.053	0.998	0.900	0.874	0.999
TAF5	TAF1	1855115	1846471	9606.ENSP00000358854	9606.ENSP00000276072	0	0	0	0	0.254	0.989	0.900	0.736	0.999
WDR5	ASH2L	1853715	1852381	9606.ENSP00000351446	9606.ENSP00000340896	0	0	0	0	0.086	0.924	0.900	0.946	0.999
ASH2L	RBBP5	1852381	1845562	9606.ENSP00000340896	9606.ENSP00000264515	0	0	0	0	0.201	0.975	0.900	0.956	0.999
SF3B1	PRPF8	1851836	1848629	9606.ENSP00000335321	9606.ENSP00000304350	0	0	0	0	0.729	0.971	0.900	0.203	0.999
VPS41	VPS18	1849177	1842787	9606.ENSP00000309457	9606.ENSP00000220509	0	0	0	0	0.273	0.953	0.900	0.866	0.999
TAF5	TAF9	1855115	1842675	9606.ENSP00000358854	9606.ENSP00000217893	0	0	0	0	0.085	0.965	0.900	0.823	0.999
SNRPE	SNRPD2	1860230	1852586	9606.ENSP00000400591	9606.ENSP00000342374	0	0	0	0	0.713	0.998	0.900	0.860	0.999
TAF5	TBP	1855115	1843249	9606.ENSP00000358854	9606.ENSP00000230354	0	0	0	0	0.104	0.968	0.900	0.835	0.999
TAF10	TAF9	1848061	1842675	9606.ENSP00000299424	9606.ENSP00000217893	0	0	0	0	0.094	0.983	0.900	0.710	0.999
SNRPD2	PRPF19	1852586	1843119	9606.ENSP00000342374	9606.ENSP00000227524	0	0	0	0	0.246	0.989	0.900	0.560	0.999
CDC5L	SF3B1	1855491	1851836	9606.ENSP00000360532	9606.ENSP00000335321	0	0	0	0	0.204	0.975	0.900	0.576	0.999
ASH2L	SETD1B	1852381	1845925	9606.ENSP00000340896	9606.ENSP00000267197	0	0	0	0	0.088	0.962	0.900	0.808	0.999
TAF6	TAF1	1860193	1846471	9606.ENSP00000399982	9606.ENSP00000276072	0	0	0	0	0.099	0.988	0.900	0.843	0.999
SNRPB	PRPF8	1860980	1848629	9606.ENSP00000412566	9606.ENSP00000304350	0	0	0	0	0.126	0.986	0.900	0.274	0.999
SUPT3H	KAT2A	1855487	1843061	9606.ENSP00000360515	9606.ENSP00000225916	0	0	0	0	0.067	0.935	0.900	0.855	0.999
SNRNP200	PRPF19	1849929	1843119	9606.ENSP00000317123	9606.ENSP00000227524	0	0	0	0	0.137	0.982	0.900	0.764	0.999
SNRPE	LSM6	1860230	1847758	9606.ENSP00000400591	9606.ENSP00000296581	0	0	0	0	0.546	0.997	0.900	0.514	0.999
CDC5L	PRPF19	1855491	1843119	9606.ENSP00000360532	9606.ENSP00000227524	0	0	0	0	0.195	0.989	0.900	0.903	0.999
TAF10	TAF1	1848061	1846471	9606.ENSP00000299424	9606.ENSP00000276072	0	0	0	0	0.045	0.990	0.900	0.718	0.999
PRPF4	PRPF6	1856059	1845854	9606.ENSP00000363313	9606.ENSP00000266079	0	0	0	0	0.128	0.989	0.900	0.612	0.999
HIRA	ASF1A	1845306	1843214	9606.ENSP00000263208	9606.ENSP00000229595	0	0	0	0	0.059	0.958	0.900	0.908	0.999
TAF1	TAF9	1846471	1842675	9606.ENSP00000276072	9606.ENSP00000217893	0	0	0	0	0.093	0.974	0.900	0.647	0.999
PRPF4	LSM6	1856059	1847758	9606.ENSP00000363313	9606.ENSP00000296581	0	0	0	0	0.097	0.996	0.900	0.112	0.999
SNRPD2	PRPF8	1852586	1848629	9606.ENSP00000342374	9606.ENSP00000304350	0	0	0	0	0.053	0.997	0.900	0.280	0.999
TAF2	TBP	1856824	1843249	9606.ENSP00000367406	9606.ENSP00000230354	0	0	0	0	0.057	0.992	0.900	0.837	0.999
SNRPB	SNRPD2	1860980	1852586	9606.ENSP00000412566	9606.ENSP00000342374	0	0	0	0	0.297	0.996	0.900	0.838	0.999
SNRNP200	PRPF6	1849929	1845854	9606.ENSP00000317123	9606.ENSP00000266079	0	0	0	0	0.181	0.983	0.900	0.621	0.999
TAF2	TAF1	1856824	1846471	9606.ENSP00000367406	9606.ENSP00000276072	0	0	0	0	0.697	0.989	0.900	0.866	0.999
TAF6	TBP	1860193	1843249	9606.ENSP00000399982	9606.ENSP00000230354	0	0	0	0	0.098	0.966	0.900	0.806	0.999
EFTUD2	XAB2	1859618	1853674	9606.ENSP00000392094	9606.ENSP00000351137	0	0	0	0	0.174	0.984	0.900	0.499	0.999
SNRPE	SNRNP200	1860230	1849929	9606.ENSP00000400591	9606.ENSP00000317123	0	0	0	0	0	0.992	0.900	0.184	0.999
CCDC101	TADA3	1849846	1848982	9606.ENSP00000316114	9606.ENSP00000307684	0	0	0	0	0.054	0.961	0.900	0.811	0.999
SNRPD2	PRPF6	1852586	1845854	9606.ENSP00000342374	9606.ENSP00000266079	0	0	0	0	0.055	0.989	0.900	0.143	0.999
PRPF8	PRPF19	1848629	1843119	9606.ENSP00000304350	9606.ENSP00000227524	0	0	0	0	0.187	0.989	0.900	0.576	0.999
PRPF8	LSM6	1848629	1847758	9606.ENSP00000304350	9606.ENSP00000296581	0	0	0	0	0.055	0.992	0.900	0.118	0.999
VPS16	VPS18	1857223	1842787	9606.ENSP00000369810	9606.ENSP00000220509	0	0	0	0	0.180	0.943	0.900	0.908	0.999
TAF5	TAF10	1855115	1848061	9606.ENSP00000358854	9606.ENSP00000299424	0	0	0	0	0.072	0.983	0.900	0.824	0.999
RBBP4	MTA1	1855919	1851603	9606.ENSP00000362592	9606.ENSP00000333633	0	0	0	0	0.059	0.990	0.900	0.566	0.999
TAF7	TBP	1849570	1843249	9606.ENSP00000312709	9606.ENSP00000230354	0	0	0	0	0.084	0.981	0.900	0.696	0.999
PRPF4	NHP2L1	1856059	1842526	9606.ENSP00000363313	9606.ENSP00000215956	0	0	0	0	0.089	0.987	0.900	0.321	0.999
TAF7	TAF1	1849570	1846471	9606.ENSP00000312709	9606.ENSP00000276072	0	0	0	0	0.270	0.988	0.900	0.844	0.999
EFTUD2	SNRNP200	1859618	1849929	9606.ENSP00000392094	9606.ENSP00000317123	0	0	0	0	0.104	0.963	0.900	0.899	0.999
TAF10	TBP	1848061	1843249	9606.ENSP00000299424	9606.ENSP00000230354	0	0	0	0	0.055	0.971	0.900	0.826	0.999
TAF1L	TBP	1861354	1843249	9606.ENSP00000418379	9606.ENSP00000230354	0	0	0	0	0.115	0.967	0.900	0.704	0.999
EFTUD2	PRPF19	1859618	1843119	9606.ENSP00000392094	9606.ENSP00000227524	0	0	0	0	0.311	0.966	0.900	0.662	0.999
TAF1L	TAF6	1861354	1860193	9606.ENSP00000418379	9606.ENSP00000399982	0	0	0	0	0.099	0.988	0.900	0.528	0.999
PRPF4	SNRPD2	1856059	1852586	9606.ENSP00000363313	9606.ENSP00000342374	0	0	0	0	0.094	0.989	0.900	0.089	0.999
RBBP5	SETD1A	1845562	1845165	9606.ENSP00000264515	9606.ENSP00000262519	0	0	0	0	0.067	0.916	0.900	0.875	0.998
KAT2A	TADA2A	1843061	1843019	9606.ENSP00000225916	9606.ENSP00000225396	0	0	0	0	0.090	0.864	0.900	0.860	0.998
TADA3	TADA2A	1848982	1843019	9606.ENSP00000307684	9606.ENSP00000225396	0	0	0	0	0.058	0.924	0.900	0.847	0.998
CXXC1	SETD1A	1859496	1845165	9606.ENSP00000390475	9606.ENSP00000262519	0	0	0	0	0.181	0.933	0.900	0.804	0.998
RBBP4	MTA2	1855919	1846587	9606.ENSP00000362592	9606.ENSP00000278823	0	0	0	0	0.059	0.955	0.900	0.631	0.998
MLL	WDR5	1862045	1853715	9606.ENSP00000436786	9606.ENSP00000351446	0	0	0	0	0.072	0.914	0.900	0.815	0.998
TAF10	KAT2A	1848061	1843061	9606.ENSP00000299424	9606.ENSP00000225916	0	0	0	0	0.050	0.945	0.900	0.688	0.998
SNRPB	PRPF4	1860980	1856059	9606.ENSP00000412566	9606.ENSP00000363313	0	0	0	0	0.244	0.979	0.900	0.126	0.998
KAT2A	TAF9	1843061	1842675	9606.ENSP00000225916	9606.ENSP00000217893	0	0	0	0	0.119	0.923	0.900	0.821	0.998
HDAC2	RBBP7	1861837	1857150	9606.ENSP00000430432	9606.ENSP00000369424	0	0	0	0	0.356	0.921	0.900	0.763	0.998
TAF1L	TAF9	1861354	1842675	9606.ENSP00000418379	9606.ENSP00000217893	0	0	0	0	0.093	0.974	0.900	0.522	0.998
CDC5L	PRPF8	1855491	1848629	9606.ENSP00000360532	9606.ENSP00000304350	0	0	0	0	0.128	0.974	0.900	0.375	0.998
TBP	TAF9	1843249	1842675	9606.ENSP00000230354	9606.ENSP00000217893	0	0	0	0	0.094	0.946	0.900	0.705	0.998
SNRPD2	SF3B1	1852586	1851836	9606.ENSP00000342374	9606.ENSP00000335321	0	0	0	0	0.061	0.983	0.900	0.256	0.998
WDR5	MLL2	1853715	1848242	9606.ENSP00000351446	9606.ENSP00000301067	0	0	0	0	0.072	0.932	0.900	0.742	0.998
PPP2R2D	PPP2R1A	1860192	1850680	9606.ENSP00000399970	9606.ENSP00000324804	0	0	0	0	0.221	0.943	0.900	0.614	0.998
TADA2B	TADA3	1849028	1848982	9606.ENSP00000308022	9606.ENSP00000307684	0	0	0	0	0.060	0.924	0.900	0.790	0.998
PPP2R1B	PPP2R5A	1849409	1844916	9606.ENSP00000311344	9606.ENSP00000261461	0	0	0	0	0.101	0.945	0.900	0.672	0.998
HDAC1	MTA1	1855935	1851603	9606.ENSP00000362649	9606.ENSP00000333633	0	0	0	0	0.060	0.965	0.900	0.548	0.998
TAF2	TAF5	1856824	1855115	9606.ENSP00000367406	9606.ENSP00000358854	0	0	0	0	0.180	0.893	0.900	0.874	0.998
CXXC1	ASH2L	1859496	1852381	9606.ENSP00000390475	9606.ENSP00000340896	0	0	0	0	0.058	0.953	0.900	0.600	0.998
CCDC101	TADA2B	1849846	1849028	9606.ENSP00000316114	9606.ENSP00000308022	0	0	0	0	0.055	0.928	0.900	0.791	0.998
TADA3	KAT2A	1848982	1843061	9606.ENSP00000307684	9606.ENSP00000225916	0	0	0	0	0.095	0.945	0.900	0.820	0.998
WDR5	MLL3	1853715	1845086	9606.ENSP00000351446	9606.ENSP00000262189	0	0	0	0	0.072	0.934	0.900	0.737	0.998
EFTUD2	SF3B1	1859618	1851836	9606.ENSP00000392094	9606.ENSP00000335321	0	0	0	0	0.165	0.952	0.900	0.583	0.998
WDR5	SETD1A	1853715	1845165	9606.ENSP00000351446	9606.ENSP00000262519	0	0	0	0	0.072	0.796	0.900	0.915	0.998
SMARCD2	SMARCC1	1859660	1844297	9606.ENSP00000392617	9606.ENSP00000254480	0	0	0	0	0.105	0.930	0.900	0.855	0.998
SUPT3H	TADA3	1855487	1848982	9606.ENSP00000360515	9606.ENSP00000307684	0	0	0	0	0.058	0.950	0.900	0.718	0.998
WDR5	SETD1B	1853715	1845925	9606.ENSP00000351446	9606.ENSP00000267197	0	0	0	0	0.072	0.928	0.900	0.844	0.998
PPP2R2A	PPP2R1B	1850707	1849409	9606.ENSP00000325074	9606.ENSP00000311344	0	0	0	0	0.221	0.943	0.900	0.672	0.998
VPS16	VPS41	1857223	1849177	9606.ENSP00000369810	9606.ENSP00000309457	0	0	0	0	0.182	0.931	0.900	0.783	0.998
PPP2CA	PPP2R1A	1861358	1850680	9606.ENSP00000418447	9606.ENSP00000324804	0	0	0	0	0.268	0.924	0.900	0.805	0.998
TAF6	TAF7	1860193	1849570	9606.ENSP00000399982	9606.ENSP00000312709	0	0	0	0	0.058	0.923	0.900	0.757	0.998
CXXC1	SETD1B	1859496	1845925	9606.ENSP00000390475	9606.ENSP00000267197	0	0	0	0	0.181	0.933	0.900	0.698	0.998
SNRNP200	LSM6	1849929	1847758	9606.ENSP00000317123	9606.ENSP00000296581	0	0	0	0	0.056	0.974	0.900	0.403	0.998
SUPT3H	TAF9	1855487	1842675	9606.ENSP00000360515	9606.ENSP00000217893	0	0	0	0	0.061	0.922	0.900	0.818	0.998
RBBP7	HDAC1	1857150	1855935	9606.ENSP00000369424	9606.ENSP00000362649	0	0	0	0	0.182	0.921	0.900	0.798	0.998
EFTUD2	PRPF6	1859618	1845854	9606.ENSP00000392094	9606.ENSP00000266079	0	0	0	0	0.097	0.980	0.900	0.474	0.998
TAF5	TAF7	1855115	1849570	9606.ENSP00000358854	9606.ENSP00000312709	0	0	0	0	0.126	0.924	0.900	0.777	0.998
TAF1L	TAF7	1861354	1849570	9606.ENSP00000418379	9606.ENSP00000312709	0	0	0	0	0.270	0.953	0.900	0.558	0.998
PPP2R3B	PPP2R1A	1857883	1850680	9606.ENSP00000375080	9606.ENSP00000324804	0	0	0	0	0.074	0.973	0.900	0.487	0.998
PPP2R5C	PPP2R1A	1860968	1850680	9606.ENSP00000412324	9606.ENSP00000324804	0	0	0	0	0.101	0.945	0.900	0.693	0.998
CXXC1	RBBP5	1859496	1845562	9606.ENSP00000390475	9606.ENSP00000264515	0	0	0	0	0.054	0.931	0.900	0.765	0.998
SNRNP200	NHP2L1	1849929	1842526	9606.ENSP00000317123	9606.ENSP00000215956	0	0	0	0	0.056	0.974	0.900	0.392	0.998
SNRPB	SNRNP200	1860980	1849929	9606.ENSP00000412566	9606.ENSP00000317123	0	0	0	0	0.049	0.985	0.900	0.154	0.998
WDR82	RBBP5	1847739	1845562	9606.ENSP00000296490	9606.ENSP00000264515	0	0	0	0	0.111	0.907	0.900	0.875	0.998
PPP2R5C	PPP2R1B	1860968	1849409	9606.ENSP00000412324	9606.ENSP00000311344	0	0	0	0	0.101	0.945	0.900	0.694	0.998
SF3B1	PRPF6	1851836	1845854	9606.ENSP00000335321	9606.ENSP00000266079	0	0	0	0	0.678	0.956	0.900	0.226	0.998
TAF6	TAF2	1860193	1856824	9606.ENSP00000399982	9606.ENSP00000367406	0	0	0	0	0.120	0.931	0.900	0.779	0.998
PPP2R5D	PPP2R1B	1861336	1849409	9606.ENSP00000417963	9606.ENSP00000311344	0	0	0	0	0.101	0.945	0.900	0.660	0.998
PPP2R5E	PPP2R1B	1852023	1849409	9606.ENSP00000337641	9606.ENSP00000311344	0	0	0	0	0.101	0.945	0.900	0.695	0.998
SF3B1	PRPF19	1851836	1843119	9606.ENSP00000335321	9606.ENSP00000227524	0	0	0	0	0.194	0.973	0.900	0.513	0.998
RBBP7	MTA2	1857150	1846587	9606.ENSP00000369424	9606.ENSP00000278823	0	0	0	0	0.059	0.955	0.900	0.652	0.998
TADA2B	TAF9	1849028	1842675	9606.ENSP00000308022	9606.ENSP00000217893	0	0	0	0	0.053	0.921	0.900	0.765	0.998
HDAC1	RBBP4	1855935	1855919	9606.ENSP00000362649	9606.ENSP00000362592	0	0	0	0	0.211	0.921	0.900	0.816	0.998
SUPT3H	TADA2B	1855487	1849028	9606.ENSP00000360515	9606.ENSP00000308022	0	0	0	0	0.051	0.926	0.900	0.811	0.998
SF3B1	SNRNP200	1851836	1849929	9606.ENSP00000335321	9606.ENSP00000317123	0	0	0	0	0.351	0.938	0.900	0.578	0.998
BAZ1A	SMARCA5	1853982	1846833	9606.ENSP00000353458	9606.ENSP00000283131	0	0	0	0	0.166	0.674	0.900	0.939	0.998
WDR82	SETD1A	1847739	1845165	9606.ENSP00000296490	9606.ENSP00000262519	0	0	0	0	0.052	0.865	0.900	0.893	0.998
SNRPB	NHP2L1	1860980	1842526	9606.ENSP00000412566	9606.ENSP00000215956	0	0	0	0	0.486	0.973	0.900	0.157	0.998
HDAC2	RBBP4	1861837	1855919	9606.ENSP00000430432	9606.ENSP00000362592	0	0	0	0	0.182	0.921	0.900	0.799	0.998
ASH2L	SETD1A	1852381	1845165	9606.ENSP00000340896	9606.ENSP00000262519	0	0	0	0	0.088	0.916	0.900	0.861	0.998
PPP2R2A	PPP2R1A	1850707	1850680	9606.ENSP00000325074	9606.ENSP00000324804	0	0	0	0	0.221	0.943	0.900	0.706	0.998
WDR82	SETD1B	1847739	1845925	9606.ENSP00000296490	9606.ENSP00000267197	0	0	0	0	0.052	0.862	0.900	0.873	0.998
XAB2	SNRNP200	1853674	1849929	9606.ENSP00000351137	9606.ENSP00000317123	0	0	0	0	0.256	0.969	0.900	0.578	0.998
PPP2R2B	PPP2R1A	1851897	1850680	9606.ENSP00000336591	9606.ENSP00000324804	0	0	0	0	0.221	0.943	0.900	0.612	0.998
CCDC101	TADA2A	1849846	1843019	9606.ENSP00000316114	9606.ENSP00000225396	0	0	0	0	0.055	0.886	0.900	0.784	0.997
CXXC1	WDR5	1859496	1853715	9606.ENSP00000390475	9606.ENSP00000351446	0	0	0	0	0.073	0.922	0.900	0.723	0.997
PPP2R1A	PPP2R5A	1850680	1844916	9606.ENSP00000324804	9606.ENSP00000261461	0	0	0	0	0.101	0.945	0.900	0.626	0.997
PPP2CA	PPP2R2D	1861358	1860192	9606.ENSP00000418447	9606.ENSP00000399970	0	0	0	0	0.130	0.888	0.900	0.751	0.997
TADA3	TAF10	1848982	1848061	9606.ENSP00000307684	9606.ENSP00000299424	0	0	0	0	0.056	0.948	0.900	0.558	0.997
PPP2R5D	PPP2R1A	1861336	1850680	9606.ENSP00000417963	9606.ENSP00000324804	0	0	0	0	0.122	0.945	0.900	0.626	0.997
SNRPE	NHP2L1	1860230	1842526	9606.ENSP00000400591	9606.ENSP00000215956	0	0	0	0	0.284	0.964	0.900	0.160	0.997
SNRPD2	NHP2L1	1852586	1842526	9606.ENSP00000342374	9606.ENSP00000215956	0	0	0	0	0.322	0.964	0.900	0.244	0.997
TAF7	TAF10	1849570	1848061	9606.ENSP00000312709	9606.ENSP00000299424	0	0	0	0	0.054	0.905	0.900	0.765	0.997
PPP2CA	PPP2R5C	1861358	1860968	9606.ENSP00000418447	9606.ENSP00000412324	0	0	0	0	0.055	0.923	0.900	0.649	0.997
CCDC101	KAT2A	1849846	1843061	9606.ENSP00000316114	9606.ENSP00000225916	0	0	0	0	0.057	0.922	0.900	0.749	0.997
XAB2	SF3B1	1853674	1851836	9606.ENSP00000351137	9606.ENSP00000335321	0	0	0	0	0.270	0.949	0.900	0.376	0.997
XAB2	PRPF8	1853674	1848629	9606.ENSP00000351137	9606.ENSP00000304350	0	0	0	0	0.269	0.955	0.900	0.217	0.997
TAF1L	TAF10	1861354	1848061	9606.ENSP00000418379	9606.ENSP00000299424	0	0	0	0	0.045	0.961	0.900	0.520	0.997
ASH2L	WDR82	1852381	1847739	9606.ENSP00000340896	9606.ENSP00000296490	0	0	0	0	0.051	0.907	0.900	0.728	0.997
SNRPE	PRPF19	1860230	1843119	9606.ENSP00000400591	9606.ENSP00000227524	0	0	0	0	0.263	0.956	0.900	0.206	0.997
TADA3	TAF9	1848982	1842675	9606.ENSP00000307684	9606.ENSP00000217893	0	0	0	0	0.063	0.922	0.900	0.692	0.997
PPP2R5E	PPP2R1A	1852023	1850680	9606.ENSP00000337641	9606.ENSP00000324804	0	0	0	0	0.101	0.945	0.900	0.626	0.997
PPP2CA	PPP2R5E	1861358	1852023	9606.ENSP00000418447	9606.ENSP00000337641	0	0	0	0	0.135	0.923	0.900	0.599	0.997
EFTUD2	CDC5L	1859618	1855491	9606.ENSP00000392094	9606.ENSP00000360532	0	0	0	0	0.150	0.951	0.900	0.421	0.997
SUPT3H	CCDC101	1855487	1849846	9606.ENSP00000360515	9606.ENSP00000316114	0	0	0	0	0.054	0.918	0.900	0.713	0.997
LSM6	NHP2L1	1847758	1842526	9606.ENSP00000296581	9606.ENSP00000215956	0	0	0	0	0.191	0.964	0.900	0.285	0.997
PPP2CA	PPP2R5A	1861358	1844916	9606.ENSP00000418447	9606.ENSP00000261461	0	0	0	0	0.055	0.923	0.900	0.659	0.997
PPP2CA	PPP2R5D	1861358	1861336	9606.ENSP00000418447	9606.ENSP00000417963	0	0	0	0	0.055	0.923	0.900	0.644	0.997
PPP2R2D	PPP2R1B	1860192	1849409	9606.ENSP00000399970	9606.ENSP00000311344	0	0	0	0	0.221	0.902	0.900	0.641	0.996
SNRPB	PRPF19	1860980	1843119	9606.ENSP00000412566	9606.ENSP00000227524	0	0	0	0	0.367	0.940	0.900	0.182	0.996
PRPF8	NHP2L1	1848629	1842526	9606.ENSP00000304350	9606.ENSP00000215956	0	0	0	0	0.061	0.932	0.900	0.555	0.996
SNRPE	PRPF6	1860230	1845854	9606.ENSP00000400591	9606.ENSP00000266079	0	0	0	0	0.051	0.956	0.900	0.225	0.996
SUPT3H	TADA2A	1855487	1843019	9606.ENSP00000360515	9606.ENSP00000225396	0	0	0	0	0.051	0.792	0.900	0.828	0.996
PRPF6	PRPF19	1845854	1843119	9606.ENSP00000266079	9606.ENSP00000227524	0	0	0	0	0.102	0.931	0.900	0.511	0.996
SNRPE	XAB2	1860230	1853674	9606.ENSP00000400591	9606.ENSP00000351137	0	0	0	0	0.056	0.945	0.900	0.375	0.996
TADA2B	KAT2A	1849028	1843061	9606.ENSP00000308022	9606.ENSP00000225916	0	0	0	0	0.090	0.797	0.900	0.837	0.996
SNRPE	CDC5L	1860230	1855491	9606.ENSP00000400591	9606.ENSP00000360532	0	0	0	0	0.051	0.959	0.900	0.097	0.996
PPP2CA	PPP2R2A	1861358	1850707	9606.ENSP00000418447	9606.ENSP00000325074	0	0	0	0	0.174	0.888	0.900	0.711	0.996
RBBP7	MTA1	1857150	1851603	9606.ENSP00000369424	9606.ENSP00000333633	0	0	0	0	0.059	0.934	0.900	0.569	0.996
SMARCA5	CHRAC1	1846833	1842807	9606.ENSP00000283131	9606.ENSP00000220913	0	0	0	0	0.050	0.833	0.900	0.784	0.996
DPY30	RBBP5	1847527	1845562	9606.ENSP00000295066	9606.ENSP00000264515	0	0	0	0	0.053	0.812	0.900	0.775	0.995
LSM6	PRPF6	1847758	1845854	9606.ENSP00000296581	9606.ENSP00000266079	0	0	0	0	0.051	0.954	0.900	0.153	0.995
PRPF4	PRPF19	1856059	1843119	9606.ENSP00000363313	9606.ENSP00000227524	0	0	0.459	0.668	0.254	0.931	0.900	0.472	0.995
EFTUD2	PRPF4	1859618	1856059	9606.ENSP00000392094	9606.ENSP00000363313	0	0	0	0	0.174	0.922	0.900	0.373	0.995
TAF2	TAF9	1856824	1842675	9606.ENSP00000367406	9606.ENSP00000217893	0	0	0	0	0.072	0.886	0.900	0.614	0.995
TADA2B	TAF10	1849028	1848061	9606.ENSP00000308022	9606.ENSP00000299424	0	0	0	0	0.053	0.925	0.900	0.393	0.995
TAF7	TAF9	1849570	1842675	9606.ENSP00000312709	9606.ENSP00000217893	0	0	0	0	0.166	0.887	0.900	0.603	0.995
CXXC1	WDR82	1859496	1847739	9606.ENSP00000390475	9606.ENSP00000296490	0	0	0	0	0.055	0.778	0.900	0.798	0.995
BPTF	SMARCA5	1848931	1846833	9606.ENSP00000307208	9606.ENSP00000283131	0	0	0	0	0.160	0.733	0.900	0.823	0.995
EFTUD2	SNRPD2	1859618	1852586	9606.ENSP00000392094	9606.ENSP00000342374	0	0	0	0	0.074	0.938	0.900	0.362	0.995
HDAC2	SMARCA5	1861837	1846833	9606.ENSP00000430432	9606.ENSP00000283131	0	0	0	0	0.419	0.804	0.900	0.605	0.994
SMARCA1	BAZ1A	1855408	1853982	9606.ENSP00000360163	9606.ENSP00000353458	0	0	0	0	0.106	0.513	0.900	0.880	0.994
SNRPB	PRPF6	1860980	1845854	9606.ENSP00000412566	9606.ENSP00000266079	0	0	0	0	0.051	0.944	0.900	0.155	0.994
